mgm_id	id_0	seq_tech_0	location_0
mgm4477875.3	AR3	WGS	Argentinian tropical forest
mgm4477876.3	BZ1	WGS	boreal forest, Alaska
mgm4477877.3	CL1	WGS	South Carolina forest
mgm4477899.3	DF1	WGS	forest in North Carolina
mgm4477900.3	EB017	WGS	McMurdo dry valley, Antarctica
mgm4477901.3	EB019	WGS	McMurdo dry valley, Antarctica
mgm4477902.3	EB020	WGS	McMurdo dry valley, Antarctica
mgm4477903.3	EB021	WGS	McMurdo dry valley, Antarctica
mgm4477904.3	EB024	WGS	McMurdo dry valley, Antarctica
mgm4477803.3	EB026	WGS	McMurdo dry valley, Antarctica
mgm4477804.3	KP1	WGS	prairie soil, Kansas
mgm4477805.3	MD3	WGS	Mojave Desert, CA
mgm4477807.3	PE6	WGS	tropical rainforest, Peru
mgm4477872.3	SF2	WGS	desert soil, near Santa Fe New Mexico
mgm4477873.3	SV1	WGS	desert soil, Sevilleta, New Mexico
mgm4477874.3	TL1	WGS	arctic tundra, Alaska
mgm4575382.3	AR3	ASM	Argentinian tropical forest
mgm4575383.3	BZ1	ASM	boreal forest, Alaska
mgm4575384.3	CL1	ASM	South Carolina forest
mgm4575385.3	DF1	ASM	forest in North Carolina
mgm4575386.3	EB017	ASM	McMurdo dry valley, Antarctica
mgm4575387.3	EB019	ASM	McMurdo dry valley, Antarctica
mgm4575388.3	EB020	ASM	McMurdo dry valley, Antarctica
mgm4575389.3	EB021	ASM	McMurdo dry valley, Antarctica
mgm4575390.3	EB024	ASM	McMurdo dry valley, Antarctica
mgm4575391.3	EB026	ASM	McMurdo dry valley, Antarctica
mgm4575392.3	KP1	ASM	prairie soil, Kansas
mgm4575393.3	MD3	ASM	Mojave Desert, CA
mgm4575394.3	PE6	ASM	tropical rainforest, Peru
mgm4575395.3	SF2	ASM	desert soil, near Santa Fe New Mexico
mgm4575396.3	SV1	ASM	desert soil, Sevilleta, New Mexico
mgm4575397.3	TL1	ASM	arctic tundra, Alaska
